OBJECTID	FIPS	AvComTm	PerNVHHs	PerColAtt	PerInd	FreRedLun	ValAdd	CoEdSites	UnempRT	MedRnt	MedHmVal	PerLIHTC	mRFEI	PerFamPov	PerPT	IntAcc	JobRatio	Shape_Length	Shape_Area	OI_v1_new
1	39123050100	2.211468205	0.635361329	0.722674684	0.827582407	-0.170144894	0.46229081	-1.023824916	0.526954686	0.206310575	2.966208914	-0.073930404	-1.232350295	0.78685544	-0.376812168	0.544394415	-0.144873389	39999.42194	28712548.24	0.429260337
2	39069980600	-0.067589002	0.509175663	-0.738022089	0.747305329	-0.124399105	-0.428826361	-0.758970022	0.369425698	-0.231673421	-0.478237697	-0.073930404	0.337840955	0.405652907	-0.493829803	-0.378409028	-0.164932056	74055.01658	304746750.7	-0.098088652
3	39069980100	-0.496339676	0.386364086	-0.491289452	0.667474234	0.678311016	-0.725865418	-0.758970022	0.197988084	-0.293562464	0.022288079	-0.073930404	0.573369643	0.722695216	-0.396402761	-0.378409028	-0.181187501	71907.83609	312560299.1	-0.034216648
4	39069980500	-0.087282408	0.755468648	-0.809025299	-0.864034037	0.495225055	0.26426477	-0.758970022	0.198325454	0.077771794	-0.309421311	-0.073930404	-1.232350295	0.288368852	-0.493829803	0.082992693	-0.20728668	86800.89268	449443429.9	-0.167107062
5	39069980200	0.63115741	0.677025899	-0.420047778	0.848543646	0.734799357	0.759329865	-0.758970022	0.208997087	0.458627443	0.093368662	-0.073930404	-1.232350295	0.948745975	-0.493829803	-1.301212471	-0.16044996	117491.0817	382773192.7	0.057487788
6	39069980700	0.442304409	0.621294479	-0.769778452	-1.174438742	0.713468454	-0.428826361	-0.758970022	0.506075619	0.63477318	-0.482680234	-0.073930404	0.547199787	0.314964061	-0.493829803	-0.378409028	-0.190265464	93868.90838	386781172.6	-0.060690533
7	39069980400	1.075090643	-0.357639775	-0.500298277	-1.19317006	0.643102177	0.759329865	-0.758970022	-0.393355622	-0.741067851	-0.475276006	-0.073930404	1.018257163	0.234236226	-0.493829803	-0.378409028	0.062023645	33768.12586	65765497.18	-0.098369196
8	39069980300	0.891956555	0.658881709	-0.072031494	0.772726405	0.643102177	0.759329865	-0.758970022	0.368954851	-0.698221591	-0.272400174	0.020041146	1.018257163	0.511692617	-0.379542117	0.544394415	-0.02562232	30614.22528	27831042.85	0.248909324
9	39155931400	0.345678398	0.160450801	-0.564473258	0.691557358	-0.310620451	-0.329813343	1.359869132	-0.100727267	-0.441144028	-0.974320937	-0.073930404	0.07801169	-0.042867507	-0.414930743	-1.301212471	-0.163550052	23582.26545	27872519.45	-0.130126443
10	39145992600	-2.168626175	0.116215975	-0.595609082	1.016233544	0.263514917	0.46229081	-0.825183746	0.074396128	-0.631571852	-0.795138632	-0.073930404	1.096766725	-0.431806886	-0.493829803	-1.301212471	-0.192622597	88491.19113	256704889.5	-0.280007097
11	39145992700	-0.721363122	0.807141943	-0.307304785	1.016233544	0.556544974	-0.032774285	-0.825183746	0.661172633	-0.364972898	-0.256110873	-0.073930404	-1.232350295	0.334718302	-0.493829803	-0.378409028	-0.219177854	93434.09202	237345437.8	-0.095599731
12	39145992300	-2.063929443	0.540530348	-0.738579345	0.142105351	0.298775155	-1.220930513	-0.692756299	-0.612945803	-0.674418113	-0.806985396	-0.029641851	-1.232350295	-0.209214887	-0.433446748	-1.301212471	-0.204182392	138879.3465	517172794.5	-0.577448919
13	39145994000	-0.615113651	0.556288439	-0.726696671	0.343690016	-0.66625542	1.452420998	-0.825183746	0.317894313	-0.422101245	-0.774406795	-0.073930404	-1.232350295	-0.113839569	-0.493829803	-0.378409028	-0.209672173	100306.5679	485031819.4	-0.24134344
14	39145992400	-1.54515412	0.568589797	-0.56735696	0.142105351	0.298775155	-1.220930513	-0.692756299	-0.302582052	-1.526582627	-0.688517757	-0.073930404	-1.232350295	0.013067478	-0.410494803	-0.378409028	-0.18854701	77688.66112	240853434.8	-0.48781713
15	39145992500	-0.868366477	0.312664682	-0.511891647	-0.146892133	-0.163154527	-1.022904475	-0.692756299	0.387149429	-0.393537072	-0.504892916	-0.073930404	-0.054706857	0.058348031	-0.493829803	-0.378409028	-0.19953282	81460.78429	135967264.9	-0.296665145
16	39145993100	-0.598554581	-0.133765473	-0.7000331	-1.758677483	-1.708591242	1.25439496	-0.758970022	-0.345175596	-0.798196198	-1.036516447	-0.073930404	-0.218579993	-1.107263822	-0.493829803	0.082992693	0.032435936	38508.19551	40415279.05	-0.522641286
17	39145993200	0.850253905	-1.222014853	-0.763356173	-1.689104015	-1.708591242	-0.230800323	-0.825183746	-2.137929049	-1.493257757	-1.295664408	-0.073930404	0.62570935	-0.941663296	-0.493829803	-0.378409028	-0.169549364	12561.01266	8483039.033	-0.746707513
18	39145993600	0.76144868	-1.3378186	-0.395654476	-0.20219412	0.491601371	2.640577226	-0.825183746	-1.273243957	-1.526582627	-1.526676305	0.012242661	-0.73855007	-1.40182871	-0.493829803	-1.301212471	0.499256908	9516.920833	3571359.752	-0.413603002
19	39145993800	0.444174533	0.696920107	0.302754762	0.395424134	0.563509642	0.957355905	-0.692756299	0.6707329	-0.326887333	-0.408637959	-0.073930404	-0.462718675	0.203425459	-0.493829803	1.005796136	-0.036798995	39000.59662	41118896.81	0.171533382
20	39145993900	-0.757581748	0.73172441	-0.805359239	0.343690016	-0.118385332	1.848473075	-0.825183746	-0.39385719	-0.245955508	-1.036516447	-0.073930404	-0.161085615	0.230650005	-0.493829803	-0.378409028	-0.187417002	33442.12264	37253050.91	-0.145185847
21	39145992800	-0.980646543	0.451379529	-0.652495128	0.022135717	0.305611324	-0.230800323	-0.825183746	0.61685562	-0.564922113	-0.658900847	-0.073930404	-0.224810908	0.030328516	-0.493829803	-0.83981075	-0.176008224	65411.30721	165107105.1	-0.268439255
22	39145992100	-0.321145071	0.382991859	-0.50696512	-0.203978055	0.29985455	0.165251752	-0.692756299	0.399166294	-1.183812543	-0.5922628	-0.073930404	0.020998791	0.14290872	-0.493829803	1.005796136	-0.192215296	81267.55986	216971899.6	-0.115245456
23	39145993000	0.235150318	0.17457333	-0.921118158	-0.18435477	-0.535751419	-0.032774285	-0.825183746	-0.407357112	-0.783914112	-1.083903503	-0.073930404	-1.232350295	-0.669286959	-0.080605629	-0.378409028	-0.209552737	22234.80428	21835938.07	-0.438048032
24	39145992200	-2.105145681	0.461980355	-0.631511645	0.335662308	-0.179602451	0.46229081	-0.692756299	-0.954680688	-0.821999676	-0.537471517	-0.073930404	-0.237895838	-0.515100847	-0.493829803	-0.378409028	-0.187457196	72439.02016	171248564.4	-0.4093661
25	39145992900	0.245153805	0.352793342	-0.565299366	1.016233544	0.556544974	-0.032774285	-0.825183746	0.178450273	-0.812478285	-0.48712277	0.004805184	0.169606178	0.00992998	-0.426684766	0.544394415	-0.077883249	37569.59921	41675421.3	-0.009344673
26	39145993300	1.341980827	-0.481163433	0.421547044	-1.946882634	-0.229845721	-0.032774285	-0.825183746	-0.04392026	0.772833353	-0.577454345	-0.073930404	0.534114862	-0.176716218	-0.493829803	0.544394415	-0.035602221	9366.698863	3177777.694	-0.081402036
27	39145993400	0.252400071	-0.822179223	-0.566060452	-1.946882634	-0.229845721	-0.032774285	-0.825183746	-1.270552876	-0.979102632	-1.109077876	-0.073930404	-0.523894959	-1.649364736	-0.355756447	-1.301212471	-0.153850236	7276.717028	2316136.585	-0.724204289
28	39145993500	1.950745027	-1.26246468	-0.992222288	-1.946882634	-0.229845721	-0.032774285	-0.825183746	-1.56849253	-0.464947506	-1.303068635	-0.073930404	-0.244749844	-2.411981618	-0.493829803	-1.301212471	-0.166198309	9885.672404	3192604.578	-0.710439965
29	39145993700	0.720318917	-0.733530501	-0.03854667	-0.04253193	0.342387856	0.858342885	-0.825183746	-1.445415378	-2.274011838	-0.855853297	0.021359521	-0.475605345	-1.130039035	-0.148371368	-1.301212471	0.032176057	8033.579206	2108620.494	-0.455982271
30	39103415100	-1.184252263	0.8099105	0.426534173	1.066183724	0.671063649	0.066238733	0.697731896	0.739136385	0.372934922	1.001126948	-0.073930404	0.272416319	0.876913507	-0.454505509	1.467197857	-0.083345109	15177.19965	11423676.45	0.416959708
31	39103415200	-0.663121446	0.714912351	-0.0472162	1.042992567	0.972523267	-0.725865418	0.432877002	0.657158042	0.796636831	0.505043709	-0.073930404	1.188361217	0.75256286	-0.428503283	0.544394415	-0.096914903	11815.96253	8225506.652	0.348244413
32	39103415300	-1.787614498	0.43881404	-0.363328104	0.905629566	1.442162914	0.264264772	0.101808384	0.469825213	0.43958466	0.125947263	-0.073930404	-0.185556127	0.60428329	-0.179925355	-0.378409028	-0.139696456	10638.63096	6556290.867	0.105241258
33	39103415400	-0.959250943	0.715535863	-0.239843381	0.927928757	1.434144551	-0.52783938	0.101808384	0.48130562	0.092053881	0.525775546	0.074289328	-1.232350295	0.62605876	-0.139150521	1.467197857	-0.185665079	11042.58501	7268269.667	0.197624934
34	39103415800	-2.020786995	0.776712244	0.453674525	0.960039588	0.607996138	-0.428826361	0.035594661	0.704243878	1.463134216	1.05295654	-0.073930404	-1.232350295	0.67723714	-0.32171772	1.467197857	-0.173240332	19973.70311	15787069.56	0.246745918
35	39103416000	-0.971390783	0.590667149	0.345666745	0.976095004	0.929398864	0.759329865	0.101808384	0.625128086	0.372934922	0.293282804	-0.073930404	2.496853925	0.527051928	-0.437756273	0.544394415	-0.033523751	15978.70293	10699859.39	0.44037568
