OBJECTID	FIPS	AvComTm	PerNVHHs	PerColAtt	PerInd	FreRedLun	ValAdd	CoEdSites	UnempRT	MedRnt	MedHmVal	PerLIHTC	mRFEI	PerFamPov	PerPT	IntAcc	JobRatio	Shape_Length	Shape_Area	OI_v1
1	39123050100	3.120842569	0.299806453	0.781686168	0.974274224	0.375933442	0.112069571	-0.940637528	0.656435577	-0.661749505	3.379354373	-0.194284333	-1.244787506	0.954639142	-0.528110467	1.192146047	-0.081869759	39999.42194	28712567.69	0.512234279
2	39069000600	-0.611592015	0.639250723	-0.595765933	-2.489036373	-0.157214011	-0.035995814	-0.940637528	0.079567599	-0.434458114	-0.523389951	-0.194284333	1.030417381	0.273503774	-0.528110467	-0.021840214	-0.095429163	74025.90222	304744295.2	-0.287813402
3	39069000100	-1.026306969	0.642063797	-0.379081684	0.925940773	0.443656373	0.383089829	-0.940637528	0.698100676	-0.097730127	0.114767352	-0.194284333	0.499536239	0.82983387	-0.528110467	-0.993029224	-0.095934182	71907.83609	312560299.1	0.01761715
4	39069000500	-0.404234539	0.771465203	-0.697567719	-1.464295606	-0.157214011	-0.685462944	-0.940637528	0.142422336	-0.207166723	-0.362765323	-0.194284333	-1.244787506	0.536396123	-0.504460332	-0.507434719	-0.119190129	86800.89268	449443429.9	-0.377451109
5	39069000200	1.254625277	0.736770623	-0.184008988	0.809333787	0.429838778	0.298800396	-0.940637528	1.06415045	0.441034651	0.266709568	-0.194284333	1.485458359	0.966369457	-0.528110467	-0.507434719	-0.06926469	117454.7575	382775791.1	0.333084414
6	39069000700	0.217837892	0.647689945	-0.579841631	-1.339794552	0.613172636	0.136942425	-0.940637528	0.863811864	-0.463921813	-0.356977049	-0.194284333	0.499536239	0.403561568	-0.528110467	-0.507434719	-0.086261969	93771.06599	387148919.8	-0.100919468
7	39069000400	1.254625277	-0.331259827	-0.61794621	-1.523104687	0.655043293	-0.018779987	-0.940637528	-0.23355859	-0.552312909	-0.532072363	0.548967748	0.256847719	-0.499387194	-0.407562175	-0.507434719	0.001458942	33768.12586	65765497.18	-0.215444576
8	39069000300	0.839910323	0.583926933	-0.43026694	-1.523104687	0.655043293	-0.018779987	-0.940637528	0.689773411	-0.005129931	-0.134128466	-0.194284333	0.696720666	0.726041223	-0.356780576	1.192146047	-0.056592623	23355.27463	27460697.18	0.107741052
9	39103409002	-1.855736877	0.663630698	-0.366001008	0.909963042	1.202481928	-0.131829705	0.029451481	0.676388026	0.028542867	0.622688471	-0.194284333	-1.244787506	0.646737787	-0.460795254	1.192146047	-0.119684002	43815.86184	93170451.44	0.099931979
10	39103403001	-1.441021923	0.807097475	-0.304578701	0.993936618	1.29953939	0.490040071	0.029451481	0.978336002	0.769344437	0.914996352	-0.194284333	-1.244787506	0.693567279	-0.528110467	-1.478623728	-0.118332226	40827.93463	103601560.6	0.104160639
