OBJECTID	GEO_id	foreign_born_pct	edu_less_hs	unemployment	below_poverty	female_headed_hh	pct_Hispanic	pct_Black	county
0	0	3.960785392	11.86756319	8.782378942	18.26404502	9.449005512	3.737017426	16.24185682	average
1	39123050100	3.1365314	4.7619048	4.290429	6.8265683	3.2608696	2.5830258	1.6605166	Ottawa
2	39069000600	0.4588472	10.237581	8.2541568	13.3763567	11.1594203	8.1445369	0.4301692	Henry
3	39069000100	0.7870838	4.5510079	3.9528696	3.9347605	4.6286329	5.0050454	0.7870838	Henry
4	39069000500	3.3887862	11.3148479	7.8354002	12.327478	7	7.9174369	0.0616143	Henry
5	39069000200	0.1065246	6.2524272	1.4785609	1.7236736	2.0057307	4.3142477	0.0266312	Henry
6	39069000700	2.9862175	10.4263705	2.8602267	9.8739496	5.9569075	12.0214395	0.2807555	Henry
7	39069000400	1.6085791	15.2671756	10.4284104	24.1889764	12.8658952	10.0685136	1.3106941	Henry
8	39069000300	1.1407579	6.1201253	4.0605096	10.3134675	9.006816	5.3557618	0.2706883	Henry
9	39103409002	1.8350652	7.0812258	4.1442188	8.8918381	1.745772	0.8401503	1.8571744	Medina
10	39103403001	0.3617727	10.438247	2.0703934	6.1501357	0	0	0.0301477	Medina
11	39103402000	1.6587226	8.0320248	3.7366548	4.0680618	0.6732263	5.3384175	0.171592	Medina
12	39103408301	3.2527604	4.1012216	2.7921406	4.8455482	2.1806854	1.4324082	2.2381379	Medina
13	39103408302	2.9478014	5.1961987	3.5566428	5.1876052	7.7389547	0.979336	2.2818529	Medina
14	39103408100	1.322029	6.5273038	4.8122392	13.5764944	9.3186373	2.5434689	9.3116827	Medina
15	39103404000	4.1003976	4.8005409	2.282063	1.494396	1.9104084	2.9821074	0	Medina
16	39103407000	4.0911134	1.9788311	6.1285501	4.7355013	4.3162199	1.9931066	1.4386333	Medina
17	39103406000	5.0875576	3.0743432	1.9622093	9.8082596	5.4303279	1.0322581	0.6820277	Medina
18	39103417000	1.4280528	4.8400603	4.215013	2.5547445	6.8460389	1.7185042	2.0210577	Medina
19	39103417200	0.8618404	5.9546514	5.0992213	9.0859851	7.5914149	1.8297534	1.5778308	Medina
20	39103417300	1.2770563	8.1899518	6.7091295	10.9653025	10.2486355	0.3246753	1.1038961	Medina
21	39103412000	1.171875	6.0081787	3.5816036	4.5789232	3.3869116	0.4365809	0.8731618	Medina
22	39103403002	3.5412097	4.2766151	4.7481181	1.9429646	5.0966608	1.3788781	0.3760577	Medina
23	39103408202	1.5884881	3.8957319	2.7433924	4.9644061	3.9900249	0.39245	1.2334143	Medina
24	39103408003	6.787176	3.7395513	3.968254	5.627558	0.5976096	1.4324693	2.1828104	Medina
