OBJECTID	FIPS	IMR3	IMR2	IMR1	PTB3	PTB2	PTB1	NAS3	NAS2	NAS1	county
0	0	0.801793637	0.851429976	0.509989444	0.54156811	0.922174821	0.269187167	0.43101818	0.648128142	0.712547141	average
1	39123050100	0.830914259	0.35852657	0.120352453	0.02404387	0.26190121	0.790420153	0.719457635	0.819549193	0.810648583	Ottawa
2	39069000600	0.049591612	0.911112424	0.053235171	0.429320314	0.734539143	0.753324805	0.900347131	0.753499338	0.490934757	Henry
3	39069000100	0.494664913	0.36063978	0.502936688	0.02473558	0.529767685	0.481303607	0.316197875	0.923346057	0.914589041	Henry
4	39069000500	0.900703041	0.990579814	0.085470076	0.601539711	0.907089487	0.024162005	0.587080046	0.796568871	0.085657731	Henry
5	39069000200	0.426575428	0.707270988	0.06880142	0.359269855	0.192073465	0.04989835	0.280921106	0.361960838	0.486718317	Henry
6	39069000700	0.351359362	0.965484559	0.835015332	0.909788049	0.929506213	0.744455431	0.358298355	0.008387747	0.822192519	Henry
7	39069000400	0.421826895	0.86775895	0.110641566	0.74203386	0.850684587	0.869445035	0.036619566	0.693990928	0.412767959	Henry
8	39069000300	0.113997972	0.048939332	0.066231893	0.471287737	0.114453337	0.592070819	0.658971777	0.398821371	0.775572678	Henry
9	39103409002	0.314198589	0.361683455	0.546494087	0.974671204	0.803892051	0.117557576	0.620951375	0.687331429	0.067517867	Medina
10	39103403001	0.831184602	0.284775249	0.208100789	0.101115419	0.511203459	0.224833432	0.127413746	0.631221986	0.530922247	Medina
11	39103402000	0.73165038	0.818231056	0.589133429	0.389997792	0.084570571	0.625783837	0.271098775	0.415861359	0.341196422	Medina
12	39103408301	0.666846334	0.117802703	0.325305374	0.439676024	0.425730085	0.767761118	0.67132288	0.891190509	0.965960124	Medina
13	39103408302	0.719542831	0.518476604	0.546938564	0.925086972	0.482967142	0.01888837	0.032102782	0.148200064	0.201296865	Medina
14	39103408100	0.389940547	0.727946499	0.011785954	0.252290395	0.744020877	0.964134253	0.667191711	0.353461364	0.482333917	Medina
15	39103404000	0.559698972	0.442846465	0.744154941	0.673594964	0.625757902	0.627171715	0.829575766	0.13333693	0.190926887	Medina
16	39103407000	0.243919659	0.677204817	0.174404053	0.574787806	0.898653367	0.124697014	0.10784826	0.549631196	0.275480538	Medina
17	39103406000	0.256567732	0.699487851	0.603471215	0.013538367	0.487093026	0.778578324	0.743180263	0.993865714	0.644224862	Medina
18	39103417000	0.66349113	0.105669124	0.859044823	0.505494873	0.038698105	0.652075909	0.029874617	0.611463724	0.759479919	Medina
19	39103417200	0.735909778	0.53270063	0.442939443	0.167081055	0.200786655	0.860624176	0.107578076	0.672141403	0.989032496	Medina
20	39103417300	0.810836644	0.553116973	0.437817415	0.637263806	0.568522238	0.799325384	0.202243879	0.900809424	0.740038739	Medina
21	39103412000	0.554508243	0.631209372	0.587065589	0.635558556	0.292411531	0.171930743	0.063335239	0.796796566	0.683596621	Medina
22	39103403002	0.701912788	0.470523682	0.455022568	0.408687711	0.072067279	0.219402024	0.459420214	0.736050026	0.418797408	Medina
23	39103408202	0.414937452	0.174033972	0.450904029	0.692066853	0.830205869	0.57458518	0.602942263	0.491256341	0.9603121	Medina
